192.168.225.226,1
192.168.227.66,1
192.168.227.82,1
192.168.226.194,1
192.169.3.226,1
192.168.226.242,1
192.168.226.50,1
192.168.226.114,1
192.169.10.66,1
192.169.10.50,1
192.168.227.18,1
192.168.227.34,1
192.168.227.130,1
192.168.227.50,1
192.168.227.146,1
192.168.227.178,1
192.168.227.162,1
192.168.227.210,1
192.168.227.194,1
192.168.227.226,1
192.168.228.50,1
192.168.227.242,1
192.168.228.66,1
192.169.3.114,1
192.168.228.82,1
192.168.228.98,1
192.168.228.130,1
192.168.227.98,0
192.169.4.34,1
192.168.228.162,1
192.168.228.194,1
192.168.228.178,1
192.168.228.226,1
192.168.228.210,1
192.168.228.34,0
192.169.4.18,0
192.168.228.242,1
192.168.229.34,1
192.168.229.2,1
192.168.229.18,1
192.168.229.50,1
192.168.229.82,1
192.168.253.82,1
192.168.230.66,1
192.168.252.162,1
192.169.4.50,1
192.168.232.98,1
192.168.235.178,1
192.168.229.114,1
192.168.235.210,1
192.168.236.82,1
192.168.229.130,1
192.168.241.66,1
192.168.236.114,1
192.168.240.210,1
192.168.241.50,1
192.168.240.194,1
192.168.229.146,1
192.168.236.130,1
192.168.241.178,1
192.168.238.66,1
192.168.237.34,1
192.168.229.162,1
192.168.229.194,1
192.168.237.18,1
192.168.248.2,1
192.168.238.50,1
192.168.230.146,1
192.168.242.66,1
192.168.245.130,1
192.168.250.162,1
192.168.248.130,1
192.168.248.146,1
192.168.249.98,1
192.168.250.98,1
192.168.250.146,1
192.168.245.146,1
192.168.249.114,1
192.169.4.66,1
192.169.4.82,1
192.168.230.2,1
192.168.230.34,1
192.168.249.130,0
192.168.250.226,1
192.168.252.114,1
192.168.252.18,1
192.168.252.82,1
192.168.251.2,1
192.168.252.146,1
192.168.242.226,1
192.169.2.242,1
192.168.254.210,1
192.169.1.18,1
192.168.236.66,1
192.168.236.98,1
192.168.241.34,1
192.169.10.162,1
192.168.243.242,1
192.168.244.2,1
192.169.4.2,1
192.168.244.18,1
192.168.238.194,1
192.168.238.242,1
192.168.239.2,1
192.169.13.2,1
192.168.231.82,1
192.169.11.98,1
192.168.231.194,1
192.168.231.210,1
192.168.231.178,1
192.168.232.2,1
192.168.231.226,1
192.169.12.242,1
192.168.243.178,1
192.168.234.242,1
192.169.12.98,1
192.168.229.66,1
192.168.232.18,0
192.169.12.114,1
192.168.239.210,1
192.168.231.66,1
192.168.231.130,1
192.169.11.130,1
192.169.11.82,1
192.169.12.210,1
192.168.231.146,1
192.169.12.50,1
192.168.231.242,1
192.168.236.146,1
192.168.232.34,1
192.168.236.194,1
192.169.13.226,1
192.168.236.162,1
192.169.10.146,1
192.168.252.130,1
192.168.252.66,1
192.168.252.98,1
192.168.247.226,1
192.168.236.210,0
192.168.247.242,1
192.168.245.178,1
192.168.245.210,1
192.169.52.178,1
192.169.12.34,1
192.168.246.34,1
192.168.246.66,1
192.168.246.2,0
192.169.0.130,1
192.168.230.162,1
192.168.233.130,1
192.168.246.146,0
192.169.10.178,1
192.169.1.210,1
192.169.2.162,1
192.169.11.50,1
192.169.2.210,1
192.169.14.194,1
192.168.239.82,1
192.168.239.98,1
192.168.240.66,1
192.168.231.2,1
192.169.14.2,1
192.168.231.18,1
192.168.231.34,1
192.168.231.50,1
192.169.2.178,1
192.169.11.210,1
192.168.229.242,1
192.168.230.178,1
192.168.238.2,1
192.168.235.226,1
192.168.236.50,1
192.168.230.50,1
192.168.241.210,1
192.169.14.242,1
192.168.241.162,1
192.168.241.146,1
192.169.11.242,1
192.168.242.50,1
192.168.231.114,1
192.169.11.66,1
192.169.14.34,1
192.168.231.98,1
192.168.232.66,1
